去	q
我	w
在	z
他	t
有	y
是	s
人	r
的	d
也	f
个	g
还	h
就	j
可	k
了	l
想	x
从	c
着	p
不	b
没	m
这	v
你	n
一	yi
来	la
说	so
上	s]
到	db
大	d[
们	mw
道	dbo
那	n[
么	me
地	dm
子	zk
下	x[
出	cu
时	sk
看	kv
要	yb
她	tq
中	vo
中	v/
然	rg
里	lk
为	wd
为	wx
过	g/
自	zm
好	hh
得	de
得	dd
会	hc
天	tt
心	xw
后	h/
以	yk
小	xh
都	do
和	hd
对	dc
能	nf
起	qk
之	vi
手	sl
而	rk
只	vii
只	vk
生	sr
使	sku
身	sw
头	tl
样	y]
事	sm
多	dou
己	jk
家	jq
面	mv
知	viu
开	kq
如	rj
无	wj
现	xv
很	hs
点	dg
前	qg
发	fq
发	f[
经	jr
情	qf
把	ba
老	lh
些	xe
话	h[
已	yka
又	y/
声	sre
意	ym
于	yj
回	hf
笑	xb
所	slu
但	dv
眼	yg
成	cf
方	fp
年	ng
见	jv
当	dp
女	nj
真	vw
两	l;
力	lm
气	qm
用	y/u
长	c;
长	v;
动	d/
间	jt
间	jvo
国	gl
走	zl
让	r]
被	bx
给	gd
正	vc
问	wz
打	da
明	mf
儿	rku
法	fa
才	ca
几	jku
行	h;
行	xf
三	st
定	dco
此	ck
进	jz
再	z[
种	vl
将	jp
实	sko
同	tli
最	zc
本	bs
向	x]
分	fw
十	ske
学	xa
高	gy
第	dmu
感	gg
怎	zs
神	ss
听	tr
边	bt
作	z/
其	qke
吧	bq
却	q[
口	kl
觉	ja
啊	rq
因	yw
白	bau
次	cm
军	jw
做	z/u
外	w[
门	ms
光	gp
风	fr
主	vj
住	vn
果	gli
与	yje
全	q;
二	rm
候	h/u
公	go
相	xp
相	x]e
吗	mq
等	df
别	bd
色	sx
死	skeu
张	vp
部	bn
太	t[
日	rmi
少	sh
少	sb
战	vv
理	lke
直	vke
重	cl
重	v/u
王	w;
像	x]u
脸	lg
比	bk
快	k[
何	hdu
水	sf
名	mfu
体	tk
呢	ne
东	doe
叫	jb
西	xi
应	yr
应	yc
便	bv
便	pg
放	f]
马	ma
难	nga
轻	qr
更	gc
美	md
位	wxu
关	gpo
机	ji
接	je
先	xt
文	ws
处	cj
处	cn
并	bc
望	w]
常	c;i
完	wg
四	smi
飞	fe
师	si
者	vd
安	rt
清	qro
刚	gpi
跟	gw
月	y[
信	xz
山	sti
爱	r[
内	nx
龙	ll
空	ko
空	k/
带	d[e
找	vh
原	y;
入	rn
李	lkei
连	lge
吃	ci
场	c;e
平	pf
思	sii
林	ls
变	bvo
什	ssu
由	yl
受	s/
亲	qw
命	mc
目	mn
强	q;a
男	ngi
任	rz
该	gq
路	ln
车	ce
今	jwu
海	ha
加	jqa
远	y;e
活	hl
特	tx
解	jd
电	dvi
世	sme
性	xc
表	bh
许	xj
它	tqo
立	lmo
黑	he
金	jwuo
红	hla
花	hq
转	v;e
转	v]
总	zlo
算	s]u
城	cfe
队	dca
孩	haa
反	fg
工	goe
始	ska
满	mg
新	xwo
兵	br
物	wn
离	lko
非	fei
虽	sri
云	ys
似	smu
万	wv
至	vm
干	gt
干	gv
通	to
认	rzo
失	siu
火	hlo
哥	ge
士	smei
五	wje
惊	jro
魔	ml
竟	jc
姐	jda
乎	hu
剑	jvu
往	w;u
量	l;i
量	l]
早	zh
结	jdaa
怕	p[
流	llo
突	tu
坐	z/uo
斯	sie
音	ywo
紧	js
指	vkei
拉	lq
杀	sq
半	bvou
记	jm
且	qd
利	lmu
合	hduo
倒	dh
倒	dbu
书	su
度	dn
微	we
步	bni
教	jy
教	jbe
喜	xk
越	y[e
影	yf
谁	sd
冷	lf
深	swo
告	gb
落	l/
象	x]ua
容	rl
怪	g[
传	c;u
传	v]u
钱	qgu
提	tke
言	ygo
随	sfa
每	mdu
双	sp
服	fj
击	jie
武	wjee
哪	na
数	sj
数	sn
站	vvo
奇	qkeu
房	f;
管	g;
灵	lfa
刻	kx
题	tki
衣	yio
周	vou
静	jce
伤	spu
百	bae
拿	nau
妈	mqa
办	bva
星	xr
化	h[u
功	goei
绝	jaa
系	xm
般	btu
必	bm
业	yx
尔	rkua
件	jvui
血	xd
血	x[u
代	d[u
精	jrou
弟	dmo
终	voa
近	jzu
条	th
青	qre
界	jx
司	sia
整	vf
欢	hp
字	zmo
晚	wgi
民	msa
帮	bp
切	qe
切	qx
即	jka
忙	m;
交	jyo
或	h/e
暗	rv
夫	fu
员	y;i
根	gwe
石	skeui
哈	hqi
夜	yxo
父	fn
制	vmu
友	yle
阿	rqa
息	xiu
冲	co
酒	jl
保	bhu
片	pv
形	xfe
阵	vz
南	nge
决	jao
请	qfo
各	gx
报	bb
兴	xro
兴	xco
阳	y;a
急	jkua
语	yjo
令	lc
错	c/
及	jkau
刘	lloe
极	jke
识	skoa
备	bxu
慢	mvo
雪	xae
苦	kj
若	r/
领	lfu
收	soa
底	dk
尽	jza
准	vs
看	kt
华	hau
华	h[ui
答	dau
众	v/uo
千	qt
要	yy
消	xy
视	smo
罗	lli
敢	gga
留	llu
克	kxe
乐	lx
乐	y[u
够	g/u
跑	ph
显	xg
嘴	zf
官	gpoo
断	d]
未	wxe
势	smeie
句	jn
求	ql
计	jmo
论	lz
达	dae
则	zd
害	h[o
八	bqu
单	dt
久	jlu
脚	jh
德	ddu
元	y;ee
脑	nh
楚	cje
雨	yjei
睛	jri
响	x;
刀	dy
确	q[e
玉	yn
得	dduu
沉	cs
北	bdi
格	gde
停	tf
陈	csa
市	smoe
朝	vy
朝	ch
喝	hei
族	zj
江	jpo
团	t;
母	mj
章	vpo
装	vpoe
亮	l]o
客	kxo
照	vb
乱	l]u
